time,coin,dir,px,sz,ntl,fee,closedPnl
27/12/2025 - 15:29:08,BTC,Close Short,87975,0.01165,1024.90875,0.153736,0.703704
27/12/2025 - 15:29:08,BTC,Close Short,87926,0.00557,489.74782000000005,0.073462,0.60942
27/12/2025 - 15:29:11,BTC,Open Long,87959,0.022,1935.098,0.870794,-0.870794
27/12/2025 - 15:29:11,BTC,Open Long,87959,0.01165,1024.72235,0.461124,-0.461124
27/12/2025 - 15:29:25,BTC,Close Long,87964,0.022,1935.2079999999999,0.290281,-0.18028100000000002
27/12/2025 - 15:29:25,BTC,Close Long,87985,0.01165,1025.0252500000001,0.153753,0.149147
27/12/2025 - 15:29:32,BTC,Open Long,87918,0.022,1934.196,0.290129,-0.290129
27/12/2025 - 15:29:37,BTC,Open Long,87940,0.022,1934.6799999999998,0.870606,-0.870606
27/12/2025 - 15:29:40,BTC,Close Long,87996,0.022,1935.9119999999998,0.290386,1.183614
27/12/2025 - 15:29:40,BTC,Close Long,88018,0.01165,1025.4097000000002,0.153811,0.883039
27/12/2025 - 15:29:48,BTC,Open Long,87921,0.022,1934.262,0.290139,-0.290139
27/12/2025 - 15:29:49,BTC,Close Long,87956,0.022,1935.032,0.290254,0.42474599999999996
27/12/2025 - 15:29:49,BTC,Long > Short,87978,0.01165,1024.9437,0.153741,0.410334
27/12/2025 - 15:30:01,BTC,Open Short,87930,0.022,1934.4599999999998,0.290169,-0.290169
27/12/2025 - 15:30:01,BTC,Open Short,87952,0.01165,1024.6408000000001,0.153696,-0.153696
27/12/2025 - 15:30:01,BTC,Open Short,88000,0.00557,490.16,0.073524,-0.073524
27/12/2025 - 15:30:24,BTC,Close Short,87936,0.01537,1351.57632,0.608209,-0.432991
27/12/2025 - 15:30:26,BTC,Open Short,87964,0.022,1935.2079999999999,0.290281,-0.290281
27/12/2025 - 15:30:26,BTC,Open Short,87986,0.01165,1025.0369,0.153755,-0.153755
27/12/2025 - 15:30:29,BTC,Close Short,87910,0.01537,1351.1767,0.202676,0.584268
27/12/2025 - 15:30:33,BTC,Open Short,87946,0.022,1934.812,0.290221,-0.290221
27/12/2025 - 15:30:33,BTC,Open Short,87967,0.01165,1024.81555,0.153722,-0.153722
27/12/2025 - 15:30:36,BTC,Close Short,87888,0.01165,1023.8952,0.153584,0.6584209999999999
27/12/2025 - 15:30:42,BTC,Close Short,87891,0.022,1933.6019999999999,0.29004,1.17736
27/12/2025 - 15:31:00,BTC,Open Short,87944,0.00947,832.8296799999999,0.124924,-0.124924
27/12/2025 - 15:31:02,BTC,Close Short,87888,0.01521,1336.77648,0.200516,0.823117
27/12/2025 - 15:31:14,BTC,Close Short,87891,0.01521,1336.82211,0.200523,0.77748
27/12/2025 - 15:31:40,BTC,Open Short,87944,0.00743,653.42392,0.098013,-0.098013
27/12/2025 - 15:31:40,BTC,Open Short,87993,0.00682,600.11226,0.090016,-0.090016
27/12/2025 - 15:31:44,BTC,Close Short,87913,0.00001,0.8791300000000001,0.000131,0.000339
27/12/2025 - 15:31:49,BTC,Open Short,87977,0.0096,844.5791999999999,0.126686,-0.126686
27/12/2025 - 15:32:06,BTC,Open Short,87897.462962963,0.00432,379.71704000000017,0.170872,-0.170872
27/12/2025 - 15:32:10,BTC,Close Short,87913,0.01531,1345.94803,0.605676,0.08174300000000001
27/12/2025 - 15:32:26,BTC,Close Short,87900,0.01594,1401.126,0.630506,0.29242
27/12/2025 - 15:33:22,BTC,Close Short,87878,0.00379,333.05762,0.049958,0.252863
27/12/2025 - 15:39:04,BTC,Short > Long,87824,0.01943,1706.42032,0.255963,1.8328769999999999
27/12/2025 - 15:39:04,BTC,Open Long,87775,0.00061,53.54275,0.008031,-0.008031
27/12/2025 - 15:39:07,BTC,Open Long,87784,0.01862,1634.53808,0.735542,-0.735542
27/12/2025 - 15:39:13,BTC,Open Long,87775,0.01766,1550.1064999999999,0.697547,-0.697547
27/12/2025 - 15:46:47,BTC,Close Long,87816,0.01914,1680.79824,0.252119,0.36610300000000007
27/12/2025 - 15:46:54,BTC,Close Long,87840,0.01914,1681.2576000000001,0.252188,0.825394
27/12/2025 - 15:53:29,BTC,Close Long,87862,0.01135,997.2337000000001,0.448753,-0.257701
27/12/2025 - 15:53:30,BTC,Open Short,87859,0.00793,696.72187,0.104508,-0.104508
27/12/2025 - 15:53:36,BTC,Open Short,87858,0.01928,1693.90224,0.762256,-0.762256
27/12/2025 - 15:53:42,BTC,Open Short,87858,0.01768,1553.3294400000002,0.698998,-0.698998
27/12/2025 - 15:54:40,BTC,Open Short,87864,0.0102,896.2128,0.403295,-0.403295
27/12/2025 - 15:54:43,BTC,Open Short,87864,0.00826,725.75664,0.32659,-0.32659
27/12/2025 - 15:54:46,BTC,Open Short,87864,0.00673,591.32472,0.266096,-0.266096
27/12/2025 - 15:54:52,BTC,Open Short,87864,0.00087,76.44168,0.034398,-0.034398
27/12/2025 - 15:54:52,BTC,Open Short,87864,0.00639,561.45096,0.252652,-0.252652
27/12/2025 - 15:54:55,BTC,Open Short,87863,0.00087,76.44081,0.034398,-0.034398
27/12/2025 - 15:54:55,BTC,Open Short,87863,0.00639,561.44457,0.25265,-0.25265
27/12/2025 - 15:54:59,BTC,Open Short,87862,0.0007,61.5034,0.027676,-0.027676
27/12/2025 - 15:54:59,BTC,Open Short,87862,0.00517,454.24654000000004,0.20441,-0.20441
27/12/2025 - 15:55:07,BTC,Open Short,87864,0.00126,110.70864,0.049818,-0.049818
27/12/2025 - 15:55:07,BTC,Open Short,87864,0.00494,434.04816,0.195321,-0.195321
27/12/2025 - 15:55:11,BTC,Open Short,87864,0.00094,82.59215999999999,0.037166,-0.037166
27/12/2025 - 15:55:11,BTC,Open Short,87864,0.00368,323.33952,0.145502,-0.145502
27/12/2025 - 15:55:19,BTC,Open Short,87864,0.00155,136.1892,0.061285,-0.061285
27/12/2025 - 15:55:19,BTC,Open Short,87864,0.00343,301.37352,0.135618,-0.135618
27/12/2025 - 15:55:23,BTC,Open Short,87864,0.00101,88.74264000000001,0.039934,-0.039934
27/12/2025 - 15:55:23,BTC,Open Short,87864,0.00225,197.694,0.088962,-0.088962
27/12/2025 - 15:55:30,BTC,Open Short,87866,0.00134,117.74044,0.052983,-0.052983
27/12/2025 - 15:55:30,BTC,Open Short,87866,0.00212,186.27591999999999,0.083824,-0.083824
27/12/2025 - 15:55:38,BTC,Open Short,87872,0.00103,90.50816,0.040728,-0.040728
27/12/2025 - 15:55:38,BTC,Open Short,87872,0.00164,144.11008,0.064849,-0.064849
27/12/2025 - 15:55:46,BTC,Open Short,87875,0.00122,107.2075,0.048243,-0.048243
27/12/2025 - 15:55:46,BTC,Open Short,87875,0.00156,137.085,0.061688,-0.061688
27/12/2025 - 15:55:48,BTC,Open Short,87888,0.00088,77.34144,0.011601,-0.011601
27/12/2025 - 15:55:53,BTC,Open Short,87874,0.00122,107.20627999999999,0.048242,-0.048242
27/12/2025 - 15:55:53,BTC,Open Short,87874,0.00156,137.08344,0.061687,-0.061687
27/12/2025 - 15:56:00,BTC,Open Short,87873,0.00137,120.38601,0.054173,-0.054173
27/12/2025 - 15:56:04,BTC,Open Short,87871,0.00137,120.38327,0.054172,-0.054172
27/12/2025 - 16:09:09,BTC,Close Short,87924.4441869159,0.13375,11759.894410000003,5.291949,-13.550234
27/12/2025 - 17:48:34,BTC,Open Long,88082,0.0002,17.616400000000002,0.002642,-0.002642
27/12/2025 - 17:50:07,BTC,Open Long,88082,0.00019,16.735580000000002,0.00251,-0.00251
27/12/2025 - 17:50:47,BTC,Close Long,88117,0.00022,19.385740000000002,0.002907,0.004793
27/12/2025 - 17:52:00,BTC,Long > Short,88117,0.00019,16.74223,0.002511,0.003439
27/12/2025 - 17:53:50,BTC,Short > Long,88082,0.00019,16.735580000000002,0.00251,-0.00181
27/12/2025 - 17:54:24,BTC,Open Long,88082,0.00726,639.47532,0.095921,-0.095921
27/12/2025 - 17:54:27,BTC,Open Long,88082,0.00648,570.77136,0.085615,-0.085615
27/12/2025 - 17:54:27,BTC,Open Long,88082,0.00172,151.50104,0.022725,-0.022725
27/12/2025 - 17:54:32,BTC,Open Long,88065,0.00588,517.8222,0.077673,-0.077673
27/12/2025 - 18:24:29,BTC,Close Long,87982.6276150628,0.02151,1892.5063200000009,0.851627,-2.88803
27/12/2025 - 19:00:15,BTC,Open Long,87977,0.00057,50.14689,0.007522,-0.007522
27/12/2025 - 19:01:10,BTC,Open Long,87977,0.00409,359.82592999999997,0.053973,-0.053973
27/12/2025 - 19:01:12,BTC,Open Long,87977,0.0002,17.5954,0.002639,-0.002639
27/12/2025 - 19:01:24,BTC,Open Long,87977,0.00021,18.475170000000002,0.002771,-0.002771
27/12/2025 - 19:01:31,BTC,Open Long,87977,0.00149,131.08573,0.019662,-0.019662
27/12/2025 - 19:01:37,BTC,Open Long,87977,0.00099,87.09723,0.013064,-0.013064
27/12/2025 - 19:02:36,BTC,Open Long,87977,0.00036,31.67172,0.00475,-0.00475
27/12/2025 - 19:04:36,BTC,Open Long,87977,0.00714,628.1557799999999,0.094223,-0.094223
27/12/2025 - 19:04:40,BTC,Open Long,87977,0.00665,585.04705,0.087757,-0.087757
27/12/2025 - 19:06:42,BTC,Open Long,87963,0.01725,1517.36175,0.682812,-0.682812
27/12/2025 - 19:12:48,BTC,Close Long,87978,0.00504,443.40912000000003,0.066511,-0.029719000000000002
27/12/2025 - 19:12:56,BTC,Close Long,87978,0.00468,411.73704000000004,0.06176,-0.027596000000000002
27/12/2025 - 19:15:48,BTC,Close Long,87978,0.00207,182.11445999999998,0.027317,-0.012206000000000002
27/12/2025 - 19:15:59,BTC,Close Long,87978,0.00991,871.86198,0.130779,-0.058436
27/12/2025 - 19:17:25,BTC,Close Long,87994,0.00023,20.23862,0.003035,0.002324
27/12/2025 - 19:18:53,BTC,Close Long,87990,0.01702,1497.5898,0.224638,0.103848
27/12/2025 - 20:47:56,BTC,Open Long,87961,0.00302,265.64222,0.039846,-0.039846
27/12/2025 - 21:01:08,BTC,Open Long,87957,0.00111,97.63227,0.014644,-0.014644
27/12/2025 - 21:03:27,BTC,Open Long,87957,0.00021,18.47097,0.00277,-0.00277
27/12/2025 - 21:04:38,BTC,Close Long,87975,0.00042,36.9495,0.005542,0.0008840000000000002
27/12/2025 - 21:04:41,BTC,Close Long,87975,0.00069,60.702749999999995,0.009105,0.0014520000000000002
27/12/2025 - 21:04:45,BTC,Close Long,87975,0.0056,492.65999999999997,0.073898,-0.024479000000000008
27/12/2025 - 21:04:49,BTC,Open Short,87975,0.00827,727.5532499999999,0.109132,-0.109132
27/12/2025 - 21:07:36,BTC,Open Short,87975,0.00021,18.47475,0.002771,-0.002771
27/12/2025 - 21:07:57,BTC,Open Short,87975,0.0004,35.190000000000005,0.005278,-0.005278
27/12/2025 - 21:09:05,BTC,Open Short,87975,0.0061,536.6475,0.080497,-0.080497
27/12/2025 - 21:11:09,BTC,Open Short,87991,0.02169,1908.5247900000002,0.286278,-0.286278
27/12/2025 - 21:12:23,BTC,Open Short,88003,0.00018,15.84054,0.002376,-0.002376
27/12/2025 - 21:12:42,BTC,Open Short,88003,0.02116,1862.1434800000002,0.279321,-0.279321
